Sequence;plot;date_start;date_end;start_date_analysis;end_date_analysis;trap_id;tree_species;sample;dry_weight_70;dry_weight_105;dry_mass;pooled;area;C;N;S;P;Ca;Mg;K;Zn;Mn;Fe;Cu;Pb;Cd;B;Arsenic;Cr;Co;Hg;Ni;other_observations
1;856;2011-06-06;2011-08-01;2011-10-04;2011-10-18;-9;20;10;0,025;NA;NA;y;NA;52,8;16,1;1,15;0,83;2,99;1,11;3,59;31;440;910;NA;NA;NA;NA;NA;NA;NA;NA;NA;
2;856;2011-10-24;2011-11-21;2012-01-23;2012-02-06;-9;20;10;0,085;NA;NA;y;NA;51,1;9,29;0,97;0,48;5,86;0,79;8,06;19;1030;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;
3;856;2011-08-29;2011-10-24;2012-01-09;2012-01-23;-9;20;10;0,335;NA;NA;y;NA;55,8;17,2;1,13;1,45;2,77;1,06;7,17;20;440;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;
4;856;2011-08-01;2011-08-29;2011-10-24;2011-11-07;-9;20;10;0,049;NA;NA;y;NA;53,2;12,6;1,07;0,68;2,76;0,75;5,63;25;480;430;NA;NA;NA;NA;NA;NA;NA;NA;NA;1 cone
5;856;2011-05-09;2011-06-06;2011-08-08;2011-08-22;-9;20;10;0,03;NA;NA;y;NA;51,9;13,7;0,95;0,68;3,19;1,02;2;35;330;110;NA;NA;NA;NA;NA;NA;NA;NA;NA;
6;856;2011-02-14;2011-05-09;2011-07-11;2011-07-25;-9;20;10;0,056;NA;NA;y;NA;49,8;11,7;0,69;0,61;2,1;0,99;4,14;17;250;90;NA;NA;NA;NA;NA;NA;NA;NA;NA;1 cone
7;856;2012-07-16;2012-09-10;2012-09-13;2012-10-04;-9;20;10;0,0284;NA;NA;Y;NA;52,9;11,6;1,03;0,65;3,69;0,99;3,26;36;520;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;
8;856;2011-11-21;2012-01-30;2012-02-02;2012-02-23;-9;20;10;0,0916;NA;NA;Y;NA;52,7;11,9;0,92;0,68;4,19;0,95;3,05;37;520;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;10 branches
9;856;2012-01-30;2012-05-21;2012-05-24;2012-06-14;-9;20;10;0,0706;NA;NA;Y;NA;51,3;9,15;0,78;0,57;2,91;0,65;1,66;32;290;130;NA;NA;NA;NA;NA;NA;NA;NA;NA;a lot of small branches and 1 big branch
10;856;2012-05-21;2012-07-16;2012-07-19;2012-08-09;-9;20;10;0,0203;NA;NA;Y;NA;51,3;17,7;1,3;1,35;4,96;1,05;2,25;46;410;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;
11;856;2012-11-05;2012-12-03;2012-12-06;2012-12-27;-9;20;10;0,0211;NA;NA;Y;NA;51,2;11,1;0,85;0,58;4,73;0,81;3,47;36;810;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;
12;856;2012-09-10;2012-11-05;2012-11-08;2012-11-29;-9;20;10;0,2109;NA;NA;Y;NA;51,4;8,99;0,81;0,46;3,98;0,77;4,44;26;630;130;NA;NA;NA;NA;NA;NA;NA;NA;NA;
13;856;2012-12-03;2013-01-28;2013-01-31;2013-02-21;-9;20;10;0,0052;NA;NA;Y;NA;53,1;12,4;1,01;0,64;4,62;0,78;1,69;62;430;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;
14;856;2013-11-04;2013-12-02;2013-12-05;2013-12-27;-9;20;10;0,0126;NA;NA;Y;NA;52,7;11,7;0,97;0,64;4,5;0,84;2,89;59;600;230;NA;NA;NA;NA;NA;NA;NA;NA;NA;new nets
15;856;2013-01-28;2013-07-15;2013-07-18;2013-08-08;-9;20;10;0,0397;NA;NA;Y;NA;50,7;11,3;0,77;0,58;3,33;0,82;1,66;33;330;130;NA;NA;NA;NA;NA;NA;NA;NA;NA;2 nets blown over / less material
16;856;2013-09-09;2013-10-07;2013-10-10;2013-11-04;-9;20;10;0,0561;NA;NA;Y;NA;53,2;14,2;1,12;0,91;4,2;1,18;3,8;37;550;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;
17;856;2013-07-15;2013-09-09;2013-09-12;2013-10-04;-9;20;10;0,0325;NA;NA;Y;NA;53;14,3;1,11;0,83;3,68;1,18;3,96;36;510;500;NA;NA;NA;NA;NA;NA;NA;NA;NA;a lot of branches
18;856;2013-10-07;2013-11-04;2013-11-07;2013-11-28;-9;20;10;0,1866;NA;NA;Y;NA;52,4;9;0,74;0,54;5,21;0,93;4,88;26;930;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;
19;856;2013-12-02;2014-05-19;2014-05-22;2014-06-12;-9;20;10;0,0544;NA;NA;Y;NA;50,5;12,8;0,77;0,62;2,4;1,1;2,43;23;290;80;9,8;NA;NA;NA;NA;NA;NA;NA;NA;
20;856;2014-05-19;2014-07-14;2014-07-17;2014-08-07;-9;20;10;0,0178;NA;NA;Y;NA;52;19,8;1,35;1,13;3,96;1,13;3,52;44;470;130;10,1;NA;NA;NA;NA;NA;NA;NA;NA;
21;856;2014-11-03;2014-12-01;2014-12-04;2014-12-27;-9;20;10;0,0429;NA;NA;Y;NA;49,4;10,8;0,86;0,54;5,53;0,82;4,64;28;890;120;5,1;NA;NA;NA;NA;NA;NA;NA;NA;
22;856;2014-09-08;2014-10-06;2014-10-09;2014-10-30;-9;20;10;0,1265;NA;NA;Y;NA;54,7;22;1,34;1,83;3,02;1,33;7,65;23;480;80;11,2;NA;NA;NA;NA;NA;NA;NA;NA;
23;856;2014-07-14;2014-09-08;2014-09-11;2014-10-02;-9;20;10;0,0474;NA;NA;Y;NA;52,3;13,2;1,19;0,83;3,74;1,19;3,28;34;580;350;6,1;NA;NA;NA;NA;NA;NA;NA;NA;
24;856;2014-10-06;2014-11-03;2014-11-06;2014-11-27;-9;20;10;0,2072;NA;NA;Y;NA;53,8;19,3;1,19;1,41;3,88;1,15;6,82;24;580;120;9,1;NA;NA;NA;NA;NA;NA;NA;NA;1 larger branch
25;856;2015-01-26;2015-05-18;2015-05-21;2015-06-11;-9;20;10;0,033;NA;NA;Y;NA;49,9;9,39;0,73;0,78;3,32;0,79;1,84;36;310;160;8;NA;NA;NA;NA;NA;NA;NA;NA;
26;856;2015-05-18;2015-07-13;2015-07-16;2015-08-06;-9;20;10;0,0128;NA;NA;Y;NA;51,2;17,4;1,54;1,36;4,4;1,34;7,34;71;480;NA;12,8;NA;NA;NA;NA;NA;NA;NA;NA;
27;856;2015-09-07;2015-10-05;2015-10-08;2015-10-29;-9;20;10;0,0476;NA;NA;Y;NA;52,6;13,8;1,09;0,81;3,43;1,01;5,92;31;540;120;5,5;NA;NA;NA;NA;NA;NA;NA;NA;large branch
28;856;2015-10-05;2015-11-02;2015-11-05;2015-11-26;-9;20;10;0,1562;NA;NA;Y;NA;51,6;9,14;0,72;0,5;4,25;0,99;6,82;22;680;110;5,5;NA;NA;NA;NA;NA;NA;NA;NA;
29;856;2014-12-01;2015-01-26;2015-01-29;2015-02-19;-9;20;10;0,0477;NA;NA;Y;NA;53,8;14,3;1,16;0,99;4,3;1,06;3,83;48;450;180;8,7;NA;NA;NA;NA;NA;NA;NA;NA;
30;856;2015-11-02;2015-11-30;2015-12-03;2015-12-24;-9;20;10;0,0743;NA;NA;Y;NA;53;10,2;0,95;0,56;5,08;1,19;3,55;45;710;140;5,6;NA;NA;NA;NA;NA;NA;NA;NA;
31;856;2015-07-13;2015-09-07;2015-09-10;2015-10-01;-9;20;10;0,0397;NA;NA;Y;NA;52,7;13,4;0,43;0,27;1,39;0,56;1,65;16;210;270;1,6;NA;NA;NA;NA;NA;NA;NA;NA;
32;856;2016-02-08;2016-04-04;2016-04-07;2016-04-28;-9;20;10;0,0099;NA;NA;Y;NA;51;14,6;1,09;0,98;4,1;0,96;2,41;54;380;450;11,1;NA;NA;NA;NA;NA;NA;NA;NA;branches, dry_weight_70 is weight after drying at 60 degrees C
33;856;2016-04-04;2016-05-30;2016-06-02;2016-06-23;-9;20;10;0,0642;NA;NA;Y;NA;51,2;16,1;1,06;0,89;2,47;1,24;2,01;27;280;110;10,1;NA;NA;NA;NA;NA;NA;NA;NA;dry_weight_70 is weight after drying at 60 degrees C
34;856;2016-11-14;2016-12-12;2016-12-15;2017-01-05;-9;20;10;0,0623;NA;NA;Y;NA;52,8;11,6;0,92;0,83;3,89;1,04;3;43;410;90;6,8;2,7;180;11,11;NA;NA;NA;NA;NA;dry_weight_70 is weight after drying at 60 degrees C
35;856;2016-07-25;2016-09-19;2016-09-22;2016-10-13;-9;20;10;0,0487;NA;NA;Y;NA;52,6;17,9;1,23;1,11;3,2;1,34;5,32;30;520;350;7,7;NA;NA;NA;NA;NA;NA;NA;NA;dry_weight_70 is weight after drying at 60 degrees C
36;856;2016-10-17;2016-11-14;2016-11-17;2016-12-08;-9;20;10;0,2387;NA;NA;Y;NA;52,8;16,5;1,1;1,18;4,98;1,32;4,94;28;790;120;7,9;0,84;50;19;NA;NA;NA;NA;NA;dry_weight_70 is weight after drying at 60 degrees C
37;856;2015-11-30;2016-02-08;2016-02-11;2016-03-03;-9;20;10;0,0245;NA;NA;Y;NA;53,8;12,2;1,06;0,73;4,37;0,92;2,66;46;430;210;7,1;NA;NA;NA;NA;NA;NA;NA;NA;branches, dry_weight_70 is weight after drying at 60 degrees C
38;856;2016-05-30;2016-07-25;2016-07-28;2016-08-18;-9;20;10;0,0191;NA;NA;Y;NA;52,5;23,2;1,41;1,42;3,33;1,25;3,99;35;430;170;9,8;NA;NA;NA;NA;NA;NA;NA;NA;dry_weight_70 is weight after drying at 60 degrees C
39;856;2016-09-19;2016-10-17;2016-10-20;2016-11-10;-9;20;10;0,1085;NA;NA;Y;NA;54,7;24,2;1,46;2,06;3,45;1,73;7,81;27;560;130;13,4;NA;NA;NA;NA;NA;NA;NA;NA;dry_weight_70 is weight after drying at 60 degrees C
40;856;2017-07-24;2017-09-18;2017-09-21;2017-10-12;-9;20;10;0,0511;NA;NA;N;NA;56,6;16;1,23;1,02;4,4;1,23;3,04;44;560;180;6;1,44;50;18,48;NA;NA;NA;NA;NA;NA
41;856;2016-12-12;2017-02-06;2017-02-09;2017-03-02;-9;20;10;0,0214;NA;NA;N;NA;53,4;12,4;0,86;0,89;5,24;1,06;3,18;53;460;140;7,8;2,68;140;14,13;NA;NA;NA;NA;NA;NA
42;856;2017-05-29;2017-07-24;2017-07-27;2017-08-17;-9;20;10;0,0183;NA;NA;N;NA;52,9;22,3;1,51;1,87;3,71;1,4;5,46;49;440;280;10,9;3,13;120;19,84;NA;NA;NA;NA;NA;NA
43;856;2017-09-18;2017-10-16;2017-10-19;2017-11-09;-9;20;10;0,0831;NA;NA;N;NA;55,5;10,8;0,86;0,54;3,65;0,93;5,21;26;540;80;4,7;0,25;50;15,28;NA;NA;NA;NA;NA;NA
44;856;2017-10-16;2017-11-13;2017-11-16;2017-12-07;-9;20;10;0,083;NA;NA;N;NA;56;9,89;0,78;0,5;4,6;1,01;3,86;30;730;100;3,6;0,25;50;16,77;NA;NA;NA;NA;NA;NA
45;856;2017-04-03;2017-05-29;2017-06-01;2017-06-22;-9;20;10;0,0223;NA;NA;N;NA;51,7;12,7;0,83;0,92;3,11;0,87;2,29;45;320;160;9,3;2,27;50;12,94;NA;NA;NA;NA;NA;NA
46;856;2017-02-06;2017-04-03;2017-04-06;2017-04-27;-9;20;10;0,0145;NA;NA;N;NA;53,5;13,5;1,05;0,86;4,07;1,1;2,35;49;440;200;8,4;3,22;150;13,39;NA;NA;NA;NA;NA;NA
47;856;2017-11-13;2017-12-11;2017-12-14;2018-01-04;-9;20;10;0,0282;NA;NA;N;NA;56,3;14,5;1,1;0,84;4,77;1,01;2,47;62;520;280;8,6;3,97;110;14,53;NA;NA;NA;NA;NA;NA
48;856;2018-01-22;2018-03-19;2019-03-04;2019-03-27;-9;20;12;0,022;NA;NA;N;NA;53,9;15,9;1,35;1,06;4,18;1,1;2,82;56;540;820;9,9;6,41;150;15,7;NA;NA;NA;NA;NA;NA
49;856;2018-10-01;2018-11-26;2019-03-22;2019-03-27;-9;20;12;1,354;NA;NA;N;NA;54;8,19;0,77;0,33;3,91;0,8;4,96;26;590;110;4;0,53;20;17,57;NA;NA;NA;NA;NA;NA
50;856;2018-08-15;2018-09-03;2019-03-22;2019-03-27;-9;20;12;0,222;NA;NA;N;NA;55,1;11,5;1,11;0,65;3,53;1,39;2,55;31;500;100;3,7;0,54;30;24,49;NA;NA;NA;NA;NA;NA
51;856;2018-06-11;2018-08-15;2019-05-16;2019-05-16;-9;20;12;0,167;NA;NA;N;NA;54,1;14,8;1,26;0,93;3,2;1,43;5,3;30;520;110;5,3;1,89;50;22,12;NA;NA;NA;NA;NA;NA
52;856;2017-12-11;2018-01-22;2018-04-16;2018-04-25;-9;20;12;0,155;NA;NA;N;NA;53,9;13,1;1,08;0,85;4,44;1,13;2,18;48;560;590;7,8;4,24;160;13,63;NA;NA;NA;NA;NA;NA
53;856;2018-04-16;2018-06-11;2019-03-22;2019-03-27;-9;20;12;0,187;NA;NA;N;NA;52,6;14,3;0,74;0,6;3,51;0,98;1,05;41;270;140;9,1;1,46;100;10,82;NA;NA;NA;NA;NA;NA
54;856;2018-09-03;2018-10-01;2019-03-22;2019-03-27;-9;20;12;0,584;NA;NA;N;NA;54,5;12,1;0,95;0,67;2,5;0,91;6,21;23;370;90;5,3;0,17;20;16,81;NA;NA;NA;NA;NA;NA
55;856;2019-09-01;2019-12-31;2020-03-03;2020-09-29;-9;20;11;0,189938241;NA;NA;N;NA;51,5;8,43;0,74;0,53;3,97;0,86;5,24;23;700;120;5,2;NA;NA;15,72;NA;NA;NA;NA;NA;Quartals-Mischprobe: start_date=300919, end_date=251119
56;856;2019-09-30;2019-10-28;2019-11-14;2020-09-29;-9;20;11;0,13168924;NA;NA;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
57;856;2019-09-30;2019-10-28;2019-11-14;2020-09-29;-9;20;10;0,137039613;NA;NA;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
58;856;2019-01-21;2019-02-18;2019-10-09;2019-10-16;-9;20;10;0,061815917;NA;NA;N;NA;54,1;13,6;1,04;0,91;3,88;1,07;2,31;48;410;230;7,7;NA;NA;12,84;NA;NA;NA;NA;NA;
59;856;2019-04-15;2019-05-13;2019-10-09;2019-10-16;-9;20;10;0,017325017;NA;NA;N;NA;50,9;12;0,6;0,47;3,25;0,91;1,14;33;350;150;6,9;NA;NA;14,29;NA;NA;NA;NA;NA;
60;856;2019-09-01;2019-12-31;2020-03-03;2020-09-29;-9;20;12;0,011465085;NA;NA;N;NA;50,9;9,17;0,7;0,71;4,06;0,78;3,35;45;420;150;8,7;NA;NA;9,2;NA;NA;NA;NA;NA;Quartals-Mischprobe: start_date=300919, end_date=251119
61;856;2019-09-02;2019-09-30;2019-10-04;2019-11-04;-9;20;10;0,039363458;NA;NA;N;NA;54,8;12,8;0,95;0,68;3,22;1,01;3,96;31;460;130;5,2;NA;NA;18,22;NA;NA;NA;NA;NA;
62;856;2019-10-28;2019-11-25;2020-03-03;2020-09-29;-9;20;10;0,064363713;NA;NA;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
63;856;2019-09-30;2019-10-28;2019-11-14;2020-09-29;-9;20;12;0,005350373;NA;NA;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
64;856;2019-07-08;2019-08-05;2019-08-07;2019-10-16;-9;20;10;0,006401339;NA;NA;N;NA;53,3;14,6;1,21;0,89;3,23;1,31;4,94;29;540;130;3,7;NA;NA;24,76;NA;NA;NA;NA;NA;
65;856;2019-10-28;2019-11-25;2020-03-03;2020-09-29;-9;20;11;0,058249001;NA;NA;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
66;856;2019-06-11;2019-07-08;2019-10-09;2019-10-16;-9;20;10;0,003980932;NA;NA;N;NA;52,5;19,3;1,31;1,2;3,25;1,26;5,71;31;460;180;5,9;NA;NA;16,01;NA;NA;NA;NA;NA;
67;856;2019-10-28;2019-11-25;2020-03-03;2020-09-29;-9;20;12;0,006114712;NA;NA;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
68;856;2019-05-13;2019-06-11;2019-10-09;2019-10-16;-9;20;10;0,004267559;NA;NA;N;NA;51,7;18,6;1,2;1,08;4;1,15;1,89;45;380;460;9,7;NA;NA;16,87;NA;NA;NA;NA;NA;
69;856;2019-03-18;2019-04-15;2019-10-09;2019-10-16;-9;20;10;0,018949238;NA;NA;N;NA;54,1;13,9;1,08;0,9;4,39;1,13;1,75;50;580;270;8,1;NA;NA;17,18;NA;NA;NA;NA;NA;
70;856;2019-08-05;2019-09-02;2019-10-01;2019-11-04;-9;20;10;0,017516102;NA;NA;N;NA;54,9;11,7;1,07;0,68;3,58;1,31;2,72;30;620;90;3,8;NA;NA;24,66;NA;NA;NA;NA;NA;
